timestamp_ns,receive_timestamp_ns,episode_id,frame_id,episode_frame_index,control_dt_s,trajectory_time_s,latency_ms,match_method,frame_valid,frame_invalid_reason,x,y,z,qx,qy,qz,qw,state_vx_world,state_vy_world,state_vz_world,state_vx_flu,state_vy_flu,state_vz_flu,yaw,yaw_rate,depth_file,raw_depth_finite_ratio,gravity_flu_x,gravity_flu_y,gravity_flu_z,velocity_flu_x,velocity_flu_y,velocity_flu_z,yaw_rate_flu,goal_direction_flu_x,goal_direction_flu_y,goal_direction_flu_z,goal_distance_clipped_m,goal_distance_norm,target_velocity_flu_x,target_velocity_flu_y,target_velocity_flu_z,target_yaw_rate,velocity_command_flu_x,velocity_command_flu_y,velocity_command_flu_z,yaw_rate_command,hierarchical_mode,planner_status,planner_failure_reason,fsm_state,effective_target_source,target_correction_active,effective_direction_token,directive_terminal_stop,directive_update_event,mission_revision,reentry_guard_ticks,obstacle_first_observed_event,selected_output_speed_mps,local_target_distance_m,min_observed_clearance_m,obstacle_risk_cost,avoidance_active,local_corridor_blocked,risk_corridor_near_obstacle,corridor_block_reason,corridor_block_source,first_blocking_distance_m,first_block_x,first_block_y,first_block_age_ticks,emergency_brake,immediate_avoidance,local_limit_cycle_detected,target_bearing_error_deg,consecutive_failures_30hz,unknown_recovery_ticks,plan_valid,plan_terminal,plan_end_speed_mps,plan_executed_speed_mps,plan_points_xy,navigation_goal_world_x,navigation_goal_world_y,navigation_goal_world_z,effective_target_world_x,effective_target_world_y,effective_target_world_z,original_navigation_goal_world_x,original_navigation_goal_world_y,original_navigation_goal_world_z,truth_minimum_clearance_m,truth_brake_risk,observed_brake_risk,truth_brake_would_trigger,scene_id,task_id,episode_valid,failure_taxonomy,failure_reason,macro_update_mask,macro_label_valid,macro_correction_type,macro_direction_token,macro_direction_flu_x,macro_direction_flu_y,macro_direction_flu_z,macro_distance_norm,macro_param_valid,navigation_goal_direction_flu_x,navigation_goal_direction_flu_y,navigation_goal_direction_flu_z,navigation_goal_distance_clipped_m,navigation_goal_distance_norm,correction_enter_event,correction_exit_event,correction_update_event,observability_reason,observability_goal_inside_fov,observability_direct_corridor_blocked,observability_left_bypass_visible,observability_right_bypass_visible,observability_local_avoidance_observable
1787562383874114560,1787562383889974784,joint_v2_000005_c2dc4fc3,1479,0,0.03333333333333333,0.0,15.860319137573242,frame_id_exact,1,,2.549999952316284,12.050000190734863,2.0,0.0,0.0,-0.9469940200527075,-0.3212511883003894,0.0,0.0,0.0,0.0,-0.0,0.0,2.4874918283211183,0.0,depth/001479.png,1.0,0.0,0.0,-1.0,0.0,-0.0,0.0,0.0,0.8541982664913642,-0.5199474218833559,0.0,4.5,0.9,0.0666666666,0.0,0.0,-0.2666666664,0.0666666666,0.0,0.0,-0.2666666664,direct,SAFE_PROGRESSING,NONE,DIRECT_LOCAL,PASS_THROUGH,0,10,0,0,0,0,0,0.0666666666,5.255473361885882,inf,0.0,0,0,0,CLEAR,none,nan,0.0,0.0,0,0,0,0,31.32872472783231,0,0,1,0,2.0,1.0,"2.550,12.050;2.513,12.036;2.401,11.992;2.214,11.920;2.009,11.840;1.804,11.761;1.599,11.681;1.394,11.602;1.189,11.522;0.984,11.443;0.779,11.363;0.573,11.284;0.368,11.204;0.163,11.124",-2.3499999999999996,10.15,2.0,-2.3499999999999996,10.15,2.0,-2.3499999999999996,10.15,2.0,5.897956146540879,0.0,0.0,0,0,0,1,,,1,1,PASS_THROUGH,-1,0.8541982664913642,-0.5199474218833559,0.0,0.9,0,0.8541982664913642,-0.5199474218833559,0.0,4.5,0.9,0,0,0,BYPASS_VISIBLE,1,0,1,1,1
1787562383914375936,1787562383929905152,joint_v2_000005_c2dc4fc3,1480,1,0.03333333333333333,0.03333333333333333,15.529155731201172,frame_id_exact,1,,2.549999952316284,12.050000190734863,2.000570297241211,0.00011124936353205796,0.0003030398914686566,-0.9469779171362694,-0.321298490887611,-3.215889955754392e-05,-3.9780843508196995e-05,0.02782524935901165,3.3177638730491225e-05,-8.672133459250222e-07,0.0278252765861139,2.4873918864659115,-0.008826888166368008,depth/001480.png,1.0,1.5968861505398236e-05,0.0006454326756944941,-0.9999997915808065,3.3177638730491225e-05,-8.672133459250222e-07,0.0278252765861139,-0.008826888166368008,0.854250221705599,-0.5198620460665007,-0.00010851491361161183,4.5,0.9,0.1333333332,0.0,-0.0005702972412109375,-0.5333333328,0.1333333332,0.0,-0.0005702972412109375,-0.5333333328,direct,SAFE_PROGRESSING,NONE,DIRECT_LOCAL,PASS_THROUGH,0,10,0,0,0,0,0,0.1333333332,5.255473361885882,inf,0.0,0,0,0,CLEAR,none,nan,0.0,0.0,0,0,0,0,0.0,0,0,1,0,2.0,1.0,"2.550,12.050;2.513,12.036;2.401,11.992;2.214,11.920;2.009,11.840;1.804,11.761;1.599,11.681;1.394,11.602;1.189,11.522;0.984,11.443;0.779,11.363;0.573,11.284;0.368,11.204;0.163,11.124",-2.3499999999999996,10.15,2.0,-2.3499999999999996,10.15,2.0,-2.3499999999999996,10.15,2.0,5.897947659818634,0.0,0.0,0,0,0,1,,,0,1,PASS_THROUGH,-1,0.8541982664913642,-0.5199474218833559,0.0,0.9,0,0.854250221705599,-0.5198620460665007,-0.00010851491361161183,4.5,0.9,0,0,0,BYPASS_VISIBLE,1,0,1,1,1
1787562383957971968,1787562383974648576,joint_v2_000005_c2dc4fc3,1481,2,0.03333333333333333,0.06666666666666667,16.67642593383789,frame_id_exact,1,,2.5499930381774902,12.049992561340332,2.001492738723755,0.0012703706381580024,0.0033711637171664026,-0.9468477370465199,-0.32166190987357857,-0.0005844617844559252,-0.0007153301266953349,0.025617342442274094,0.0007388206050274061,-2.171074175425068e-05,0.025623333103436494,2.48661908055089,-0.042098671197891235,depth/001481.png,1.0,0.00023694520837998093,0.007201217165059125,-0.9999740428272675,0.0007388206050274061,-2.171074175425068e-05,0.025623333103436494,-0.042098671197891235,0.8546512337950546,-0.5192024536694678,-0.00028403555212208663,4.5,0.9,0.1999999998,0.0,-0.0014927387237548828,-0.7999999992,0.1999999998,0.0,-0.0014927387237548828,-0.7999999992,direct,SAFE_PROGRESSING,NONE,DIRECT_LOCAL,PASS_THROUGH,0,10,0,0,0,0,0,0.1999999998,5.255464157173605,inf,0.0,0,0,0,CLEAR,none,nan,0.0,0.0,0,0,0,0,31.2787702631788,0,0,1,0,2.0,2.0,"2.550,12.050;2.513,12.035;2.400,11.992;2.214,11.920;1.953,11.818;1.617,11.688;1.225,11.536;0.834,11.384;0.442,11.233;0.050,11.081;-0.247,10.965",-2.3499999999999996,10.15,2.0,-2.3499999999999996,10.15,2.0,-2.3499999999999996,10.15,2.0,5.897869740658197,0.0,0.0,0,0,0,1,,,0,1,PASS_THROUGH,-1,0.8541982664913642,-0.5199474218833559,0.0,0.9,0,0.8546512337950546,-0.5192024536694678,-0.00028403555212208663,4.5,0.9,0,0,0,BYPASS_VISIBLE,1,0,1,1,1
1787562384006727936,1787562384029856000,joint_v2_000005_c2dc4fc3,1482,3,0.03333333333333333,0.1,23.128032684326172,frame_id_exact,1,,2.5499308109283447,12.049917221069336,2.0022683143615723,0.005128068104996722,0.01400000314492806,-0.946366013310258,-0.32275233799416697,-0.003875540569424629,-0.004749630577862263,0.0213231910020113,0.005489576350611843,-0.00015149496533932146,0.02149648530820692,2.484234837568452,-0.10552837699651718,depth/001482.png,1.0,0.0006689912431160315,0.029808446265755302,-0.999555405658905,0.005489576350611843,-0.00015149496533932146,0.02149648530820692,-0.10552837699651718,0.8558819643481477,-0.5171710324542391,-0.0004316176231592235,4.5,0.9,0.2666666664,0.0,-0.0022683143615722656,-1.0666666656,0.2666666664,0.0,-0.0022683143615722656,-1.0666666656,direct,SAFE_PROGRESSING,NONE,DIRECT_LOCAL,PASS_THROUGH,0,10,0,0,0,0,0,0.2666666664,5.255378901544657,inf,0.0,0,0,0,CLEAR,none,nan,0.0,0.0,0,0,0,0,0.0,0,0,1,0,2.0,2.0,"2.550,12.050;2.513,12.035;2.400,11.992;2.214,11.920;1.953,11.818;1.617,11.688;1.225,11.536;0.834,11.384;0.442,11.233;0.050,11.081;-0.247,10.965",-2.3499999999999996,10.15,2.0,-2.3499999999999996,10.15,2.0,-2.3499999999999996,10.15,2.0,5.897533611414581,0.0,0.0,0,0,0,1,,,0,1,PASS_THROUGH,-1,0.8541982664913642,-0.5199474218833559,0.0,0.9,0,0.8558819643481477,-0.5171710324542391,-0.0004316176231592235,4.5,0.9,0,0,0,BYPASS_VISIBLE,1,0,1,1,1
1787562384061475072,1787562384077308160,joint_v2_000005_c2dc4fc3,1483,4,0.03333333333333333,0.13333333333333333,15.833139419555664,frame_id_exact,1,,2.549663543701172,12.04958724975586,2.0029640197753906,0.011587193744785894,0.03346670462458712,-0.9450711590616876,-0.3249403344192438,-0.013524554669857025,-0.0168768297880888,0.020748939365148544,0.020102414589367523,-0.0002831950539164044,0.022227734381427746,2.479258612667978,-0.1992875635623932,depth/001483.png,1.0,0.00015208086006749874,0.07078712787988997,-0.9974914332453829,0.020102414589367523,-0.0002831950539164044,0.022227734381427746,-0.1992875635623932,0.8584242614647626,-0.5129400249455647,-0.0005640368076390479,4.5,0.9,0.33333333299999995,0.0,-0.002964019775390625,-1.3333333319999998,0.33333333299999995,0.0,-0.002964019775390625,-1.3333333319999998,direct,SAFE_PROGRESSING,NONE,DIRECT_LOCAL,PASS_THROUGH,0,10,0,0,0,0,0,0.33333333299999995,5.255010424433937,inf,0.0,0,0,0,CLEAR,none,nan,0.0,0.0,0,0,0,0,0.0,0,0,1,0,2.0,2.0,"2.550,12.050;2.513,12.035;2.400,11.992;2.214,11.920;1.953,11.818;1.617,11.688;1.225,11.536;0.834,11.384;0.442,11.233;0.050,11.081;-0.247,10.965",-2.3499999999999996,10.15,2.0,-2.3499999999999996,10.15,2.0,-2.3499999999999996,10.15,2.0,5.8965942496396675,0.0,0.0,0,0,0,1,,,0,1,PASS_THROUGH,-1,0.8541982664913642,-0.5199474218833559,0.0,0.9,0,0.8584242614647626,-0.5129400249455647,-0.0005640368076390479,4.5,0.9,0,0,0,BYPASS_VISIBLE,1,0,1,1,1
1787562384110883328,1787562384127646208,joint_v2_000005_c2dc4fc3,1484,5,0.03333333333333333,0.16666666666666666,16.762971878051758,frame_id_exact,1,,2.5489208698272705,12.048646926879883,2.0037083625793457,0.019316252406134868,0.05969339093483776,-0.9424120542004314,-0.3285165164332021,-0.03287219628691673,-0.04202216863632202,0.02510453760623932,0.04978772623431956,0.0002939190090277595,0.0315876191264985,2.4709310708208245,-0.3194356858730316,depth/001484.png,1.0,-0.0028127914689572084,0.1252029582481955,-0.9921271629433662,0.04978772623431956,0.0002939190090277595,0.0315876191264985,-0.3194356858730316,0.8626073378221991,-0.505873583569788,-0.0007058197783269898,4.5,0.9,0.39999999959999993,0.0,-0.003708362579345703,-1.1840726269230872,0.39999999959999993,0.0,-0.003708362579345703,-1.1840726269230872,direct,SAFE_PROGRESSING,NONE,DIRECT_LOCAL,PASS_THROUGH,0,10,0,0,0,0,0,0.39999999959999993,5.253978096811939,inf,0.0,0,0,0,CLEAR,none,nan,0.0,0.0,0,0,0,0,30.389368341590846,0,0,1,0,2.0,2.0,"2.549,12.049;2.508,12.019;2.392,11.960;2.198,11.878;1.927,11.771;1.580,11.640;1.186,11.495;0.792,11.351;0.397,11.207;0.004,11.061;-0.248,10.965",-2.3499999999999996,10.15,2.0,-2.3499999999999996,10.15,2.0,-2.3499999999999996,10.15,2.0,5.894598271940967,0.0,0.0,0,0,0,1,,,0,1,PASS_THROUGH,-1,0.8541982664913642,-0.5199474218833559,0.0,0.9,0,0.8626073378221991,-0.505873583569788,-0.0007058197783269898,4.5,0.9,0,0,0,BYPASS_VISIBLE,1,0,1,1,1
1787562384160827392,1787562384176470272,joint_v2_000005_c2dc4fc3,1485,6,0.03333333333333333,0.2,15.642881393432617,frame_id_exact,1,,2.5473501682281494,12.046616554260254,2.0045645236968994,0.027779855727237793,0.08904983093627793,-0.9380411277069173,-0.3337323028361641,-0.06317217648029327,-0.0822947546839714,0.02380472794175148,0.0974798672603739,0.002755621856163617,0.04266025819447038,2.4586560359527683,-0.44952672719955444,depth/001485.png,1.0,-0.00732031590324303,0.1856068781157679,-0.9825968144519883,0.0974798672603739,0.002755621856163617,0.04266025819447038,-0.44952672719955444,0.8686266711137474,-0.49546639727518166,-0.0008691380798154956,4.5,0.9,0.4666666661999999,0.0,-0.004564523696899414,-1.1584132364653676,0.4666666661999999,0.0,-0.004564523696899414,-1.1584132364653676,local_avoidance,SAFE_PROGRESSING,NONE,DIRECT_LOCAL,PASS_THROUGH,0,10,0,0,0,0,1,0.4666666661999999,5.251779986265449,inf,0.0,1,1,1,CURRENT_OCCUPIED,current,4.799999999999991,-2.4499999999999997,10.350000000000001,0,0,0,0,0.0,0,0,1,0,2.0,2.0,"2.549,12.049;2.508,12.019;2.392,11.960;2.198,11.878;1.927,11.771;1.580,11.640;1.186,11.495;0.792,11.351;0.397,11.207;0.004,11.061;-0.248,10.965",-2.3499999999999996,10.15,2.0,-2.3499999999999996,10.15,2.0,-2.3499999999999996,10.15,2.0,5.891081963929951,0.0,0.0,0,0,0,1,,,1,1,PASS_THROUGH,-1,0.8686269991946619,-0.495466584413194,0.0,0.9,0,0.8686266711137474,-0.49546639727518166,-0.0008691380798154956,4.5,0.9,0,0,0,BYPASS_VISIBLE,1,0,1,1,1
1787562384207367168,1787562384224122880,joint_v2_000005_c2dc4fc3,1486,7,0.03333333333333333,0.23333333333333334,16.75558090209961,frame_id_exact,1,,2.5445897579193115,12.043006896972656,2.0051398277282715,0.03681075874469533,0.1169038107473645,-0.9321280040456257,-0.34075776021581994,-0.1042681336402893,-0.13651297986507416,0.0089358389377594,0.16424733541259706,0.008026203278919286,0.05045670869944108,2.4420005863947325,-0.5713072419166565,depth/001486.png,1.0,-0.011047083269736205,0.24302573495791147,-0.9699569341467684,0.16424733541259706,0.008026203278919286,0.05045670869944108,-0.5713072419166565,0.8765407331052142,-0.4813266915226072,-0.0009794055719420068,4.5,0.9,0.5333333328,0.0,-0.005139827728271484,-1.1258642479817205,0.5333333328,0.0,-0.005139827728271484,-1.1258642479817205,local_avoidance,SAFE_PROGRESSING,NONE,DIRECT_LOCAL,PASS_THROUGH,0,10,0,0,0,0,1,0.5333333328,5.247902820204912,inf,0.0,1,1,1,CURRENT_OCCUPIED,current,4.799999999999991,-2.4499999999999997,10.350000000000001,0,0,0,0,0.0,0,0,1,0,2.0,2.0,"2.549,12.049;2.508,12.019;2.392,11.960;2.198,11.878;1.927,11.771;1.580,11.640;1.186,11.495;0.792,11.351;0.397,11.207;0.004,11.061;-0.248,10.965",-2.3499999999999996,10.15,2.0,-2.3499999999999996,10.15,2.0,-2.3499999999999996,10.15,2.0,5.885604109826844,0.0,0.0,0,0,0,1,,,0,1,PASS_THROUGH,-1,0.8686266711137474,-0.49546639727518166,-0.0008691380798154956,0.9,0,0.8765407331052142,-0.4813266915226072,-0.0009794055719420068,4.5,0.9,0,0,0,BYPASS_VISIBLE,1,0,1,1,1
1787562384250410496,1787562384267051776,joint_v2_000005_c2dc4fc3,1487,8,0.03333333333333333,0.26666666666666666,16.64113998413086,frame_id_exact,1,,2.5402848720550537,12.037391662597656,2.0050454139709473,0.04540770699866875,0.13808268199147297,-0.925491883045514,-0.34976576089725175,-0.15554600954055786,-0.20178881287574768,-0.01625320501625538,0.24814377177165817,0.016527768214658265,0.057697089769528406,2.42077028302476,-0.6760310530662537,depth/001487.png,1.0,-0.012544260157007756,0.28735292512250404,-0.9577426261583296,0.24814377177165817,0.016527768214658265,0.057697089769528406,-0.6760310530662537,0.8862357856258888,-0.46323342477253276,-0.0009625225057977476,4.5,0.9,0.5999999993999999,0.0,-0.005045413970947266,-0.9026297908036329,0.5999999993999999,0.0,-0.005045413970947266,-0.9026297908036329,local_avoidance,SAFE_PROGRESSING,NONE,DIRECT_LOCAL,PASS_THROUGH,0,10,0,0,0,0,1,0.5999999993999999,5.241863544379389,inf,0.0,1,1,1,CURRENT_OCCUPIED,current,4.799999999999991,-2.4499999999999997,10.350000000000001,0,0,0,0,27.595965996590643,0,0,1,0,2.0,2.0,"2.540,12.037;2.467,11.985;2.316,11.904;2.091,11.793;1.791,11.654;1.422,11.486;1.038,11.314;0.655,11.143;0.272,10.970;-0.110,10.796;-0.176,10.765",-2.3499999999999996,10.15,2.0,-2.3499999999999996,10.15,2.0,-2.3499999999999996,10.15,2.0,5.877813320162758,0.0,0.0,0,0,0,1,,,0,1,PASS_THROUGH,-1,0.8686266711137474,-0.49546639727518166,-0.0008691380798154956,0.9,0,0.8862357856258888,-0.46323342477253276,-0.0009625225057977476,4.5,0.9,0,0,0,BYPASS_VISIBLE,1,0,1,1,1
1787562384298719232,1787562384315377408,joint_v2_000005_c2dc4fc3,1488,9,0.03333333333333333,0.3,16.658306121826172,frame_id_exact,1,,2.5341362953186035,12.029492378234863,2.0039474964141846,0.05214915218553398,0.14838803057952493,-0.9192659198826567,-0.36084848184432344,-0.21429385244846344,-0.27242422103881836,-0.05130763351917267,0.3442628856359758,0.028205132167300802,0.05879473408533017,2.3952601308288477,-0.753588080406189,depth/001488.png,1.0,-0.011213314407110125,0.31045200365176256,-0.95052291661412,0.3442628856359758,0.028205132167300802,0.05879473408533017,-0.753588080406189,0.8973290937178197,-0.4413614489180288,-0.0007543053325735536,4.5,0.9,0.6666666659999999,0.0,-0.00394749641418457,-0.8561807891923379,0.6666666659999999,0.0,-0.00394749641418457,-0.8561807891923379,local_avoidance,SAFE_PROGRESSING,NONE,DIRECT_LOCAL,PASS_THROUGH,0,10,0,0,0,0,1,0.6666666659999999,5.233285674515722,inf,0.0,1,1,1,HISTORY_OCCUPIED,history,4.799999999999991,-2.4499999999999997,10.350000000000001,1,0,0,0,0.0,0,0,1,0,2.0,2.0,"2.540,12.037;2.467,11.985;2.316,11.904;2.091,11.793;1.791,11.654;1.422,11.486;1.038,11.314;0.655,11.143;0.272,10.970;-0.110,10.796;-0.176,10.765",-2.3499999999999996,10.15,2.0,-2.3499999999999996,10.15,2.0,-2.3499999999999996,10.15,2.0,5.867514696039294,0.0,0.0,0,0,0,1,,,0,1,PASS_THROUGH,-1,0.8686266711137474,-0.49546639727518166,-0.0008691380798154956,0.9,0,0.8973290937178197,-0.4413614489180288,-0.0007543053325735536,4.5,0.9,0,0,0,BYPASS_VISIBLE,1,0,1,1,1
